OBJECTID,NA_ID,NEIGHB_NAME,STATUS,CLASSIFICA,Web,ShapeSTArea,ShapeSTLength
10617,123,South Campus Property Owners Association,Inactive,Property  Owners Association,https://www.cityofmadison.com/neighborhoods/profile/123.html,4932484.1905404,9961.89868519381
10618,126,Park Ridge Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/126.html,1319348.58047065,4997.38280064376
10619,127,Whitetail Ridge,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/127.html,2734377.78570568,6841.91746977817
10620,132,Mayfair Park    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/132.html,15482582.4619482,17844.5948869329
10621,133,Parkside Resident Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/133.html,45328.3792452061,848.10364229318
10622,135,Junction Ridge    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/135.html,39942446.5121018,31392.1918443668
10623,136,Old Middleton Greenway,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/136.html,3443375.15992534,10213.8937191162
10624,137,Newbery Heights,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/137.html,1342823.25602787,4745.77653204272
10625,139,Glacier Ridge    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/139.html,8510789.40168652,17480.922118626
10626,142,Nobel Park Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/142.html,2785429.71172061,8491.91963180025
10627,143,High Crossing Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/143.html,49858138.7077112,33830.6084518223
10628,145,North Star    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/145.html,26046870.481135,19980.5348189885
10629,146,Sprecher East    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/146.html,31260241.9470598,28290.5499080093
10630,148,Greystone,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/148.html,1756213.46200425,5301.93417976814
